0: WIN_20220324_10_43_09_Pro
image_size:	640x480
#sift count:	7476

1: WIN_20220324_10_43_11_Pro
image_size:	640x480
#sift count:	7778

2: WIN_20220324_10_43_14_Pro
image_size:	640x480
#sift count:	6981

3: WIN_20220324_10_43_16_Pro
image_size:	640x480
#sift count:	7787

4: WIN_20220324_10_43_18_Pro
image_size:	640x480
#sift count:	7715

5: WIN_20220324_10_43_19_Pro
image_size:	640x480
#sift count:	7599

6: WIN_20220324_10_43_22_Pro
image_size:	640x480
#sift count:	6840

7: WIN_20220324_10_43_24_Pro
image_size:	640x480
#sift count:	7136

8: WIN_20220324_10_43_25_Pro
image_size:	640x480
#sift count:	4881

9: WIN_20220324_10_43_27_Pro
image_size:	640x480
#sift count:	6273

10: WIN_20220324_10_43_28_Pro
image_size:	640x480
#sift count:	6055

11: WIN_20220324_10_43_31_Pro
image_size:	640x480
#sift count:	6671

12: WIN_20220324_10_43_33_Pro
image_size:	640x480
#sift count:	4924

13: WIN_20220324_10_43_35_Pro
image_size:	640x480
#sift count:	5264

14: WIN_20220324_10_43_36_Pro
image_size:	640x480
#sift count:	6437

15: WIN_20220324_10_43_37_Pro
image_size:	640x480
#sift count:	6880

16: WIN_20220324_10_43_38_Pro
image_size:	640x480
#sift count:	7088

17: WIN_20220324_10_43_40_Pro
image_size:	640x480
#sift count:	7885

18: WIN_20220324_10_43_41_Pro
image_size:	640x480
#sift count:	8124

19: WIN_20220324_10_43_42_Pro
image_size:	640x480
#sift count:	8261

20: WIN_20220324_10_43_43_Pro
image_size:	640x480
#sift count:	8177

21: WIN_20220324_10_43_44_Pro
image_size:	640x480
#sift count:	7009

22: WIN_20220324_10_43_45_Pro
image_size:	640x480
#sift count:	7857

23: WIN_20220324_10_43_47_Pro
image_size:	640x480
#sift count:	5960

24: WIN_20220324_10_43_48_Pro
image_size:	640x480
#sift count:	5038

25: WIN_20220324_10_43_49_Pro
image_size:	640x480
#sift count:	6930

26: WIN_20220324_10_43_50_Pro
image_size:	640x480
#sift count:	7616

27: WIN_20220324_10_43_51_Pro
image_size:	640x480
#sift count:	4827

28: WIN_20220324_10_43_52_Pro
image_size:	640x480
#sift count:	6650

29: WIN_20220324_10_43_53_Pro (2)
image_size:	640x480
#sift count:	7839

30: WIN_20220324_10_43_53_Pro
image_size:	640x480
#sift count:	7715

31: WIN_20220324_10_43_55_Pro
image_size:	640x480
#sift count:	4108

32: WIN_20220324_10_43_56_Pro
image_size:	640x480
#sift count:	7363

33: WIN_20220324_10_43_57_Pro
image_size:	640x480
#sift count:	6558

34: WIN_20220324_10_43_58_Pro (2)
image_size:	640x480
#sift count:	6759

35: WIN_20220324_10_43_58_Pro
image_size:	640x480
#sift count:	4735

36: WIN_20220324_10_43_59_Pro
image_size:	640x480
#sift count:	8217

37: WIN_20220324_10_44_00_Pro
image_size:	640x480
#sift count:	7607

38: WIN_20220324_10_44_01_Pro
image_size:	640x480
#sift count:	7471

39: WIN_20220324_10_44_02_Pro
image_size:	640x480
#sift count:	7337

40: WIN_20220324_10_44_05_Pro
image_size:	640x480
#sift count:	8385

41: WIN_20220324_10_44_06_Pro
image_size:	640x480
#sift count:	7287

42: WIN_20220324_10_44_07_Pro (2)
image_size:	640x480
#sift count:	8098

43: WIN_20220324_10_44_07_Pro
image_size:	640x480
#sift count:	7025

44: WIN_20220324_10_44_09_Pro (2)
image_size:	640x480
#sift count:	7499

45: WIN_20220324_10_44_09_Pro
image_size:	640x480
#sift count:	5652

46: WIN_20220324_10_44_10_Pro
image_size:	640x480
#sift count:	7543

47: WIN_20220324_10_44_11_Pro
image_size:	640x480
#sift count:	4001

48: WIN_20220324_10_44_12_Pro
image_size:	640x480
#sift count:	5973

49: WIN_20220324_10_44_14_Pro
image_size:	640x480
#sift count:	6132

**************************************
Change the number of pixel-loaded images by 
modifying param_visual_data_budget in nv.ini
Use the PAUSE button to skip the pixel loading
**************************************
Loading image pixel data ...done in 0s

Modifying Calibration, begin...
fx = 432.324402, cx = 319.813385
fy = 432.324402, cy = 242.546066
radial_distortion = -0.362921
----------------------------------------------------------------
Modifying Calibration, finished
Totally 0.000 seconds used


Use RANSAC to find inliers, begin...
NOTE: loose thresholds used for manual update
0048 and 0049: [586/1087], H[229], 0.01sec
----------------------------------------------------------------
Use RANSAC to find inliers, finished
Totally 0.000 seconds used


Compute structures from two images, begin...
NOTE: loose thresholds used for manual update
0048 and 0049: [637/1087], H[258], 0.01sec
----------------------------------------------------------------
Compute structures from two images, finished
Totally 0.000 seconds used


Compute Missing Pairwise Matching, begin...
0 pairs to compute match
NOTE: using 16 matching workers
0031 and 0033: [43/122], H[9], 0.03sec

###########-------timing------#########
0 Putative Match finished, 0 sec used
1 Geometric Verification finished, 0 sec used
#############################
----------------------------------------------------------------
Compute Missing Pairwise Matching, finished
Totally 0.000 seconds used


Compute structures from two images, begin...
NOTE: loose thresholds used for manual update
0048 and 0049: [626/1087], H[352], 0.01sec
----------------------------------------------------------------
Compute structures from two images, finished
Totally 0.000 seconds used


Run full 3D reconstruction, begin...
1026 pairs have two-view models
1192 pairs have fundamental matrices
Initialize with WIN..6_Pro and WIN..8_Pro
2336 3D points initialized from two images
PBA library version = 105
PBA: 2336 3D pts, 2 cams and 4672 projs...
PBA: 3.397 -> 0.126 (1 LMs in 0.10sec)
Focal Length : [432.324]->[432.324]
Focal Length : [432.324]->[432.324]

#############################
#3: [WIN..9_Pro] sees 2496 (+1623) 3D points
Estimated Focal Length [432][0.68W]
# 1300 projs (0 pts and 0 merges)
PBA: 2336 3D pts, 3 cams and 5972 projs...
PBA: 7.393 -> 0.467 (14 LMs in 0.06sec)

**************************************
#3/3:  4390 projs and 1473 pts added.
PBA: 3593 3D pts, 3 cams and 8630 projs...
PBA: 1.605 -> 1.128 (22 LMs in 0.06sec)
PBA: 3593 3D pts, 3 cams and 8630 projs...
PBA: 1.128 -> 1.128 (14 LMs in 0.04sec)
Focal Length : [432.324]->[432.324]
Radial Distortion : [-0.363 -> -64]

#############################
#4: [WIN..5_Pro] sees 3695 (+1628) 3D points
Estimated Focal Length [432][0.68W]
# 1842 projs (0 pts and 0 merges)
PBA: 3425 3D pts, 4 cams and 10136 projs...
PBA: 9.887 -> 2.595 (24 LMs in 0.32sec)
#points w/ large errors:	81
Focal Length : [432.324]->[432.324]
Radial Distortion : [-0.363 -> -64]

#############################
#5: [WIN..9_Pro] sees 4597 (+1879) 3D points
Estimated Focal Length [432][0.68W]
# 938 projs (0 pts and 0 merges)
PBA: 3121 3D pts, 5 cams and 10461 projs...
PBA: 5.709 -> 3.175 (18 LMs in 0.05sec)
#points w/ large errors:	255

**************************************
#5/5:  9179 projs and 3277 pts added.
PBA: 6054 3D pts, 5 cams and 17649 projs...
PBA: 39.571 -> 10.619 (32 LMs in 0.11sec)
#points w/ large errors:	114
#unstable points removed:	418
PBA: 5507 3D pts, 5 cams and 16428 projs...
PBA: 10.464 -> 10.390 (14 LMs in 0.04sec)
#points w/ large errors:	14
Focal Length : [432.324]->[432.324]
Radial Distortion : [-0.363 -> -64]

#############################
#6: [WIN..1_Pro] sees 5656 (+1773) 3D points
Estimated Focal Length [432][0.68W]
# 1365 projs (0 pts and 3 merges)
PBA: 4854 3D pts, 6 cams and 16474 projs...
PBA: 12.825 -> 10.499 (24 LMs in 0.12sec)
#points w/ large errors:	1477
Focal Length : [432.324]->[432.324]
Radial Distortion : [-0.363 -> -64]

#############################
#7: [WIN..2_Pro] sees 4911 (+2921) 3D points
Estimated Focal Length [432][0.68W]
# 1399 projs (0 pts and 2 merges)
PBA: 3516 3D pts, 7 cams and 13203 projs...
PBA: 8.264 -> 5.739 (39 LMs in 0.10sec)
#points w/ large errors:	371

**************************************
#7/7:  8330 projs and 2006 pts added.
PBA: 5094 3D pts, 7 cams and 18725 projs...
PBA: 32.556 -> 6.206 (49 LMs in 0.37sec)
#points w/ large errors:	453
#unstable points removed:	124
PBA: 4517 3D pts, 7 cams and 17283 projs...
PBA: 5.906 -> 5.167 (50 LMs in 0.19sec)
#points w/ large errors:	158
#unstable points removed:	2
Focal Length : [432.324]->[432.324]
Radial Distortion : [-0.363 -> -64]

#############################
#8: [WIN..3_Pro] sees 7429 (+2321) 3D points
Estimated Focal Length [432][0.68W]
# 1873 projs (0 pts and 4 merges)
